Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2020.0,12.0,45.99568333358129,0.5523424927142279,1.13,0.0,0.0,0.0,200.0,4048.0,48.142857142857146,22.924187725631768,1037.7142857142858,2,2020-03-20
2020.0,12.0,46.1590820594404,0.5487448123222537,1.04,0.0,0.0,0.0,308.0,3356.0,58.857142857142854,25.394705174488568,1284.5714285714287,2,2020-03-21
2020.0,12.0,46.322480785299526,0.5443137527570556,0.98,0.0,0.0,0.0,364.0,2266.0,68.0,26.9410348977136,1583.047619047619,3,2020-03-22
2020.0,12.0,46.48587951115864,0.5390493140186339,0.92,0.0,0.0,0.0,451.0,3729.0,81.71428571428571,28.979542719614923,1908.0,3,2020-03-23
2020.0,12.0,46.649278237017754,0.5329514961069883,0.9,0.0,0.0,0.0,616.0,4881.0,99.42857142857143,31.21179302045728,2259.0476190476193,3,2020-03-24
2020.0,12.0,46.812676962876864,0.5260202990221191,0.9,0.0,0.0,0.0,789.0,5676.0,121.42857142857143,33.709987966305654,2665.333333333333,3,2020-03-25
2020.0,13.0,47.24124839144829,0.5182557227640261,0.88,0.0,0.0,0.0,824.0,5902.0,150.42857142857142,35.93020457280385,3113.3333333333335,3,2020-03-26
2020.0,13.0,47.4046471173074,0.5106976226841523,0.9,0.0,0.0,0.0,905.0,5980.0,174.42857142857142,38.25511432009627,3602.095238095238,3,2020-03-27
2020.0,13.0,47.56804584316651,0.5033459987824976,0.9,0.0,0.0,0.0,1001.0,4721.0,196.28571428571428,39.89771359807461,4129.333333333334,3,2020-03-28
2020.0,13.0,47.73144456902563,0.496200851059062,0.9,0.0,0.0,0.0,1063.0,3076.0,208.71428571428572,40.872442839951866,4671.2380952380945,3,2020-03-29
2020.0,13.0,47.89484329488473,0.4892621795138456,0.92,0.0,0.0,0.0,1203.0,4117.0,228.14285714285714,41.33935018050541,5226.285714285715,3,2020-03-30
2020.0,13.0,48.058242020743855,0.4825299841468483,0.93,0.0,0.0,0.0,1550.0,6059.0,258.7142857142857,42.75691937424789,5787.809523809525,3,2020-03-31
2020.0,13.0,48.221640746602965,0.47600426495807013,0.93,0.0,0.0,0.0,1784.0,6256.0,281.42857142857144,43.454873646209386,6342.095238095238,3,2020-04-01
2020.0,14.0,48.65021217517439,0.46968502194751105,0.95,0.0,0.0,0.0,2102.0,6546.0,302.85714285714283,44.229843561973524,6846.285714285715,3,2020-04-02
2020.0,14.0,48.813610901033506,0.46394158739683417,0.93,0.0,0.0,0.0,2361.0,6194.0,321.85714285714283,44.48736462093863,7282.285714285715,3,2020-04-03
2020.0,14.0,48.97700962689262,0.4587739613060396,0.92,0.0,0.0,0.0,2471.0,4342.0,321.42857142857144,44.03128760529483,7642.666666666666,3,2020-04-04
