Date,Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity
2020-01-01,,,,,,0.0,0.0,,15,,0.0,,0
2020-01-02,,,,,,0.0,0.0,,14,,0.0,,0
2020-01-03,,,,,,0.0,0.0,,17,,0.0,,0
2020-01-04,,,,,,0.0,0.0,,19,,0.0,,0
2020-01-05,,,,,,0.0,0.0,,18,,0.0,,0
2020-01-06,,,,,,0.0,0.0,,10,,0.0,,0
2020-01-07,,,,,,0.0,0.0,,9,0.2857142857142857,0.12274368231046931,,0
2020-01-08,,,,,,0.0,0.0,,7,0.2857142857142857,0.11311672683513839,,0
2020-01-09,,,,,,0.0,0.0,,7,0.2857142857142857,0.10469314079422383,,0
2020-01-10,,,,,,0.0,0.0,,2,0.2857142857142857,0.08664259927797834,,0
2020-01-11,,,,,,0.0,0.0,,4,0.14285714285714285,0.06859205776173286,,0
2020-01-12,,,,,,0.0,0.0,,7,0.14285714285714285,0.05535499398315283,,0
2020-01-13,,,,,,0.0,0.0,,8,0.14285714285714285,0.052948255114320095,,0
2020-01-14,,,,,,0.0,0.0,,2,0.14285714285714285,0.044524669073405534,,0
2020-01-15,,,,,,0.0,0.0,,5,0.14285714285714285,0.0421179302045728,,0
2020-01-16,,,,,,0.0,0.0,,4,0.14285714285714285,0.03850782190132371,,0
2020-01-17,,,,,,0.0,0.0,,5,0.14285714285714285,0.0421179302045728,,0
2020-01-18,,,,,,0.0,0.0,,3,0.14285714285714285,0.04091456077015644,,0
2020-01-19,,,,,,0.0,0.0,,6,0.14285714285714285,0.039711191335740074,,0
2020-01-20,,,,,,0.0,0.0,,8,0.14285714285714285,0.039711191335740074,,0
2020-01-21,,,,,,0.0,0.0,,4,0.14285714285714285,0.0421179302045728,,0
2020-01-22,,,,,,0.0,0.0,,6,0.14285714285714285,0.04332129963898917,,0
2020-01-23,,,,,,0.0,0.0,,4,0.14285714285714285,0.04332129963898917,,0
2020-01-24,,,,,,0.0,0.0,,6,0.14285714285714285,0.044524669073405534,,0
2020-01-25,,,,,,0.0,0.0,,3,0.14285714285714285,0.044524669073405534,,0
2020-01-26,,,,,,0.0,0.0,,4,0.14285714285714285,0.0421179302045728,,0
2020-01-27,,,,,,0.0,0.0,,8,0.14285714285714285,0.0421179302045728,,0
2020-01-28,,,,,,0.0,0.0,,6,0.14285714285714285,0.044524669073405534,,0
2020-01-29,,,,,,0.0,0.0,,9,0.14285714285714285,0.048134777376654635,,0
2020-01-30,,,,,,0.0,0.0,,10,0.2857142857142857,0.05535499398315283,,0
2020-01-31,,,,,,0.0,0.0,,10,0.14285714285714285,0.06016847172081829,,0
2020-02-01,,,,,,0.0,0.0,,9,0.14285714285714285,0.06738868832731648,,0
2020-02-02,,,,,,0.0,0.0,,11,0.14285714285714285,0.07581227436823104,,0
2020-02-03,,,,,,0.0,0.0,,5,0.2857142857142857,0.07220216606498195,,0
2020-02-04,,,,,,0.0,0.0,,4,0.2857142857142857,0.06979542719614922,,0
2020-02-05,,,,,,0.0,0.0,,4,0.42857142857142855,0.06377858002406739,,0
2020-02-06,,,,,,0.0,0.0,,1,0.2857142857142857,0.052948255114320095,,0
2020-02-07,,,,,,0.0,0.0,,5,0.2857142857142857,0.04693140794223827,,0
2020-02-08,,,,,,0.0,0.0,,,,-0.3846909614155215,,0
2020-02-09,,,,,,0.0,0.0,,6,,0.04332129963898917,,0
2020-02-10,,,,,,0.0,0.0,,14,,0.04693140794223827,,0
2020-02-11,,,,,,0.0,0.0,,10,,0.052948255114320095,,0
2020-02-12,,,,,,0.0,0.0,,5,,0.05415162454873646,,0
2020-02-13,,,,,,0.0,0.0,,4,,0.05415162454873646,,0
2020-02-14,,,,,,0.0,0.0,,6,,0.06016847172081829,,0
2020-02-15,,,,,,0.0,0.0,,15,0.14285714285714285,0.07220216606498195,,0
2020-02-16,,,,,,0.0,0.0,,13,0.14285714285714285,0.08062575210589651,,0
2020-02-17,,,,,,0.0,0.0,,11,0.14285714285714285,0.07701564380264742,,0
2020-02-18,,,,,,0.0,0.0,,16,0.2857142857142857,0.0842358604091456,,0
2020-02-19,,,,,,0.0,0.0,,13,0.42857142857142855,0.09386281588447654,,0
2020-02-20,,,,,,0.0,0.0,,31,0.8571428571428571,0.1263537906137184,,0
2020-02-21,,,,,,0.0,0.0,,18,0.7142857142857143,0.1407942238267148,,0
2020-02-22,,,,,,0.0,0.0,,27,0.7142857142857143,0.1552346570397112,,0
2020-02-23,,,,,,0.0,0.0,,44,0.8571428571428571,0.19253910950661854,,0
2020-02-24,,,,,,0.0,0.0,,69,0.8571428571428571,0.26233453670276774,,0
2020-02-25,,,,,,0.0,0.0,,108,1.0,0.3730445246690734,,0
2020-02-26,,,,,,0.0,0.0,,160,2.0,0.5499398315282792,,0
2020-02-27,,,,,,0.0,0.0,,161,1.8571428571428572,0.7063778580024067,,0
2020-02-28,,,,,,0.0,0.0,,220,2.4285714285714284,0.9494584837545126,,0
2020-02-29,,,,,,0.0,0.0,,191,2.7142857142857144,1.1468110709987966,,0
2020-03-01,,,,,,0.0,0.0,,234,3.142857142857143,1.3754512635379061,,0
2020-03-02,,,,,,0.0,0.0,,297,4.571428571428571,1.6498194945848375,,0
2020-03-03,,,,,,0.0,0.0,,307,5.857142857142857,1.8892900120336944,,0
2020-03-04,,,,,,0.0,0.0,,416,6.142857142857143,2.197352587244284,256,0
2020-03-05,2020.0,10.0,,,,0.0,0.0,,456,7.142857142857143,2.5523465703971118,304,0
2020-03-06,2020.0,10.0,,,2.34,0.0,0.0,,675,9.285714285714286,3.099879663056558,364,0
2020-03-07,2020.0,10.0,,,2.56,0.0,0.0,,817,12.142857142857142,3.8531889290012034,532,0
2020-03-08,2020.0,10.0,,,2.93,0.0,0.0,,1108,14.714285714285714,4.904933814681107,596,1
2020-03-09,2020.0,10.0,,,3.13,0.0,0.0,,1772,17.0,6.679903730445247,640,1
2020-03-10,2020.0,10.0,,,3.22,0.0,0.0,,2258,20.428571428571427,9.027677496991576,732,1
2020-03-11,2020.0,10.0,43.41630741741754,,3.12,0.0,0.0,,2825,25.857142857142858,11.926594464500601,884,1
2020-03-12,2020.0,11.0,43.70202170313183,,2.84,0.0,0.0,,3156,33.142857142857146,15.175691937424789,1052,1
2020-03-13,2020.0,11.0,44.15376188805027,,2.5,0.0,0.0,,3911,41.57142857142857,19.069795427196148,1288,1
2020-03-14,2020.0,11.0,44.589241638089746,,2.18,0.0,0.0,,3899,47.142857142857146,22.778580024067388,1576,1
